title,law_url,sysid,law_group,law_type
พระราชบัญญัติสถาบันวิจัยระบบสาธารณสุข พ.ศ. 2535 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=395112&ext=htm,395112,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติสถาบันวิจัยวิทยาศาสตร์และเทคโนโลยีแห่งประเทศไทย พ.ศ. 2522 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=395133&ext=htm,395133,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติส่งเสริมวิสาหกิจเพื่อสังคม พ.ศ. 2562,https://www.krisdika.go.th/librarian/get?sysid=834100&ext=htm,834100,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติสภานโยบายการอุดมศึกษา วิทยาศาสตร์ วิจัยและนวัตกรรมแห่งชาติ พ.ศ. 2562 ,https://www.krisdika.go.th/librarian/get?sysid=832188&ext=htm,832188,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติส่งเสริมและรักษาคุณภาพสิ่งแวดล้อมแห่งชาติ พ.ศ. 2535 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=396089&ext=htm,396089,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติวินัยการเงินการคลังของรัฐ พ.ศ. 2561,https://www.krisdika.go.th/librarian/get?sysid=801409&ext=htm,801409,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติวิธีการงบประมาณ พ.ศ. 2502 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=305354&ext=htm,305354,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติวิธีการงบประมาณ พ.ศ. 2561,https://www.krisdika.go.th/librarian/get?sysid=819685&ext=htm,819685,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติวัฒนธรรมแห่งชาติ พ.ศ. 2553 ,https://www.krisdika.go.th/librarian/get?sysid=638960&ext=htm,638960,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติระเบียบบริหารราชการในพระองค์ พ.ศ. 2560,https://www.krisdika.go.th/librarian/get?sysid=775999&ext=htm,775999,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติโรงเรียนเอกชน พ.ศ 2550 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=650071&ext=htm,650071,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติแร่ พ.ศ. 2510 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=511267&ext=htm,511267,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติราชบัณฑิตยสภา พ.ศ. 2558,https://www.krisdika.go.th/librarian/get?sysid=722968&ext=htm,722968,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
รัฐธรรมนูญแห่งราชอาณาจักรไทย,https://www.krisdika.go.th/librarian/get?sysid=774606&ext=htm,774606,การเงิน การคลัง และวิธีการงบประมาณ,รัฐธรรมนูญ
พระราชบัญญัติรถยนต์ พ.ศ. 2522 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=570861&ext=htm,570861,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติยกเลิกพระราชบัญญัติการซื้อขายสินค้าเกษตรล่วงหน้า พ.ศ. 2542 พ.ศ. 2558,https://www.krisdika.go.th/librarian/get?sysid=738787&ext=htm,738787,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติยุบเลิกทุนรักษาระดับอัตราแลกเปลี่ยนเงินตรา พ.ศ. 2550 ,https://www.krisdika.go.th/librarian/get?sysid=560648&ext=htm,560648,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติมาตรการในการปราบปรามผู้กระทำความผิดเกี่ยวกับยาเสพติด พ.ศ. 2534 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=304497&ext=htm,304497,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติพัฒนาระบบมาตรวิทยาแห่งชาติ พ.ศ. 2540 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=394501&ext=htm,394501,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติพัฒนาวิทยาศาสตร์และเทคโนโลยี พ.ศ. 2534 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=394495&ext=htm,394495,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติผู้สูงอายุ พ.ศ. 2546 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=635171&ext=htm,635171,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชกำหนดปรับปรุงการบริหารหนี้เงินกู้ที่กระทรวงการคลังกู้เพื่อช่วยเหลือกองทุนเพื่อการฟื้นฟูและพัฒนาระบบสถาบันการเงิน พ.ศ. 2555 ,https://www.krisdika.go.th/librarian/get?sysid=662134&ext=htm,662134,การเงิน การคลัง และวิธีการงบประมาณ,พระราชกำหนด
พระราชบัญญัติป้องกันและปราบปรามการค้ามนุษย์ พ.ศ. 2551 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=727433&ext=htm,727433,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติประกอบรัฐธรรมนูญว่าด้วยการตรวจเงินแผ่นดิน พ.ศ. 2561,https://www.krisdika.go.th/librarian/get?sysid=797464&ext=htm,797464,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติประกอบรัฐธรรมนูญว่าด้วยการป้องกันและปราบปรามการทุจริต พ.ศ. 2561 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=822553&ext=htm,822553,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติประกอบรัฐธรรมนูญว่าด้วยการป้องกันและปราบปรามการทุจริต พ.ศ. 2561,https://www.krisdika.go.th/librarian/get?sysid=809061&ext=htm,809061,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติป้องกันและปราบปรามการฟอกเงิน พ.ศ. 2542 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=609499&ext=htm,609499,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติประกอบรัฐธรรมนูญว่าด้วยพรรคการเมือง พ.ศ. 2550 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=742584&ext=htm,742584,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติประกอบรัฐธรรมนูญว่าด้วยพรรคการเมือง พ.ศ. 2560 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=793682&ext=htm,793682,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติประกอบรัฐธรรมนูญว่าด้วยพรรคการเมือง พ.ศ. 2560,https://www.krisdika.go.th/librarian/get?sysid=787750&ext=htm,787750,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติประกันสังคม พ.ศ. 2533 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=300760&ext=htm,300760,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติประกันวินาศภัย พ.ศ. 2535 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=571063&ext=htm,571063,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติประกันชีวิต พ.ศ. 2535 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=571251&ext=htm,571251,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติบรรษัทประกันสินเชื่ออุตสาหกรรมขนาดย่อม พ.ศ. 2534,https://www.krisdika.go.th/librarian/get?sysid=303436&ext=htm,303436,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติโบราณสถาน โบราณวัตถุ ศิลปวัตถุและพิพิธภัณฑสภานแห่งชาติ พ.ศ. 2504 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=518382&ext=htm,518382,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติบำเหน็จบำนาญข้าราชการส่วนท้องถิ่น พ.ศ. 2500 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=456314&ext=htm,456314,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติบำเหน็จบำนาญข้าราชการกรุงเทพมหานคร พ.ศ. 2516,https://www.krisdika.go.th/librarian/get?sysid=303393&ext=htm,303393,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัตินโยบายการท่องเที่ยวแห่งชาติ พ.ศ. 2551 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=834626&ext=htm,834626,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติน้ำบาดาล พ.ศ. 2520 ( ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=608472&ext=htm,608472,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติธนาคารอิสลามแห่งประเทศไทย พ.ศ. 2545 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=808661&ext=htm,808661,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติธนาคารอาคารสงเคราะห์ พ.ศ.2496 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=538639&ext=htm,538639,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติธนาคารแห่งประเทศไทย พุทธศักราช 2485 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=572942&ext=htm,572942,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร พ.ศ. 2509 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=563871&ext=htm,563871,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชบัญญัติทนายความ พ.ศ. 2528,https://www.krisdika.go.th/librarian/get?sysid=326998&ext=htm,326998,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
พระราชกำหนดถอนคืนเหรียญกษาปณ์ชนิดทองขาว ราคาห้าบาท ลักษณะเก้าเหลี่ยม พ.ศ. 2521,https://www.krisdika.go.th/librarian/get?sysid=700871&ext=htm,700871,การเงิน การคลัง และวิธีการงบประมาณ,พระราชกำหนด
พระราชบัญญัติตำรวจแห่งชาติ พ.ศ. 2547 (ฉบับ Update ล่าสุด),https://www.krisdika.go.th/librarian/get?sysid=646678&ext=htm,646678,การเงิน การคลัง และวิธีการงบประมาณ,พระราชบัญญัติ
